TerritoryID,Territory,Group,SalesYTD,SalesLastYear
1,Northwest,North America,7887186.788,3298694.494
2,Northeast,North America,2402176.848,3607148.937
3,Central,North America,3072175.118,3205014.077
4,Southwest,North America,10510853.87,5366575.71
5,Southeast,North America,2538667.252,3925071.432
6,Canada,North America,6771829.138,5693988.86
7,France,Europe,4772398.308,2396539.76
8,Germany,Europe,3805202.348,1307949.792
9,Australia,Pacific,5977814.915,2278548.978
10,United Kingdom,Europe,5012905.366,1635823.397
