ProductID,ProductCategoryID,ProductSubcategoryID,Product,color,Sub Category,Category
1,-1,-1,Adjustable Race,Black,Unknown,Unknown
2,-1,-1,Bearing Ball,Black,Unknown,Unknown
3,-1,-1,BB Ball Bearing,Black,Unknown,Unknown
4,-1,-1,Headset Ball Bearings,Black,Unknown,Unknown
316,-1,-1,Blade,Black,Unknown,Unknown
317,-1,-1,LL Crankarm,Black,Unknown,Unknown
318,-1,-1,ML Crankarm,Black,Unknown,Unknown
319,-1,-1,HL Crankarm,Black,Unknown,Unknown
320,-1,-1,Chainring Bolts,Silver,Unknown,Unknown
321,-1,-1,Chainring Nut,Silver,Unknown,Unknown
322,-1,-1,Chainring,Black,Unknown,Unknown
323,-1,-1,Crown Race,Black,Unknown,Unknown
324,-1,-1,Chain Stays,Black,Unknown,Unknown
325,-1,-1,Decal 1,Black,Unknown,Unknown
326,-1,-1,Decal 2,Black,Unknown,Unknown
327,-1,-1,Down Tube,Black,Unknown,Unknown
328,-1,-1,Mountain End Caps,Black,Unknown,Unknown
329,-1,-1,Road End Caps,Black,Unknown,Unknown
330,-1,-1,Touring End Caps,Black,Unknown,Unknown
331,-1,-1,Fork End,Black,Unknown,Unknown
332,-1,-1,Freewheel,Silver,Unknown,Unknown
341,-1,-1,Flat Washer 1,Black,Unknown,Unknown
342,-1,-1,Flat Washer 6,Black,Unknown,Unknown
343,-1,-1,Flat Washer 2,Black,Unknown,Unknown
344,-1,-1,Flat Washer 9,Black,Unknown,Unknown
345,-1,-1,Flat Washer 4,Black,Unknown,Unknown
346,-1,-1,Flat Washer 3,Black,Unknown,Unknown
347,-1,-1,Flat Washer 8,Black,Unknown,Unknown
348,-1,-1,Flat Washer 5,Black,Unknown,Unknown
349,-1,-1,Flat Washer 7,Black,Unknown,Unknown
350,-1,-1,Fork Crown,Black,Unknown,Unknown
351,-1,-1,Front Derailleur Cage,Silver,Unknown,Unknown
352,-1,-1,Front Derailleur Linkage,Silver,Unknown,Unknown
355,-1,-1,Guide Pulley,Black,Unknown,Unknown
356,-1,-1,LL Grip Tape,Black,Unknown,Unknown
357,-1,-1,ML Grip Tape,Black,Unknown,Unknown
